Day,New York Harbor No. 2 Heating Oil Future Contract 1 $/gal
06/20/2017,1.395
06/19/2017,1.411
06/16/2017,1.427
06/15/2017,1.415
06/14/2017,1.41
06/13/2017,1.448
06/12/2017,1.425
06/9/2017,1.431
06/8/2017,1.422
06/7/2017,1.416
06/6/2017,1.466
06/5/2017,1.459
06/2/2017,1.485
06/1/2017,1.502
05/31/2017,1.515
05/30/2017,1.549
05/26/2017,1.563
05/25/2017,1.551
05/24/2017,1.606
05/23/2017,1.607
05/22/2017,1.602
05/19/2017,1.583
05/18/2017,1.545
05/17/2017,1.534
05/16/2017,1.516
05/15/2017,1.51
05/12/2017,1.493
05/11/2017,1.49
05/10/2017,1.475
05/9/2017,1.442
05/8/2017,1.456
05/5/2017,1.437
05/4/2017,1.412
05/3/2017,1.474
05/2/2017,1.468
05/1/2017,1.488
04/28/2017,1.504
04/27/2017,1.507
04/26/2017,1.537
04/25/2017,1.545
04/24/2017,1.543
04/21/2017,1.553
04/20/2017,1.579
04/19/2017,1.581
04/18/2017,1.622
04/17/2017,1.633
04/13/2017,1.65
04/12/2017,1.652
04/11/2017,1.651
04/10/2017,1.647
04/7/2017,1.628
04/6/2017,1.613
04/5/2017,1.604
04/4/2017,1.592
04/3/2017,1.563
03/31/2017,1.574
03/30/2017,1.558
03/29/2017,1.543
03/28/2017,1.517
03/27/2017,1.503
03/24/2017,1.498
03/23/2017,1.49
03/22/2017,1.497
03/21/2017,1.503
03/20/2017,1.514
03/17/2017,1.509
03/16/2017,1.504
03/15/2017,1.512
03/14/2017,1.492
03/13/2017,1.501
03/10/2017,1.504
03/9/2017,1.53
03/8/2017,1.557
03/7/2017,1.614
03/6/2017,1.605
03/3/2017,1.594
03/2/2017,1.579
03/1/2017,1.624
02/28/2017,1.621
02/27/2017,1.64
02/24/2017,1.64
02/23/2017,1.657
02/22/2017,1.63
02/21/2017,1.643
02/17/2017,1.636
02/16/2017,1.629
02/15/2017,1.631
02/14/2017,1.638
02/13/2017,1.627
02/10/2017,1.666
02/9/2017,1.642
02/8/2017,1.636
02/7/2017,1.622
02/6/2017,1.635
02/3/2017,1.665
02/2/2017,1.652
02/1/2017,1.674
01/31/2017,1.612
01/30/2017,1.607
01/27/2017,1.619
01/26/2017,1.641
01/25/2017,1.611
01/24/2017,1.642
01/23/2017,1.627
01/20/2017,1.646
01/19/2017,1.618
01/18/2017,1.609
01/17/2017,1.649
01/13/2017,1.651
01/12/2017,1.676
01/11/2017,1.652
01/10/2017,1.611
01/9/2017,1.638
01/6/2017,1.703
01/5/2017,1.694
01/4/2017,1.693
01/3/2017,1.677
12/30/2016,1.704
12/29/2016,1.704
12/28/2016,1.699
12/27/2016,1.699
12/23/2016,1.663
12/22/2016,1.661
12/21/2016,1.64
12/20/2016,1.669
12/19/2016,1.669
12/16/2016,1.672
12/15/2016,1.642
12/14/2016,1.644
12/13/2016,1.675
12/12/2016,1.672
12/9/2016,1.637
12/8/2016,1.626
12/7/2016,1.618
12/6/2016,1.638
12/5/2016,1.657
12/2/2016,1.658
12/1/2016,1.648
11/30/2016,1.571
11/29/2016,1.463
11/28/2016,1.513
11/23/2016,1.517
11/22/2016,1.526
11/21/2016,1.525
11/18/2016,1.458
11/17/2016,1.447
11/16/2016,1.435
11/15/2016,1.444
11/14/2016,1.386
11/10/2016,1.437
11/9/2016,1.441
11/8/2016,1.441
11/7/2016,1.441
11/4/2016,1.43
11/3/2016,1.458
11/2/2016,1.467
11/1/2016,1.517
10/31/2016,1.496
10/28/2016,1.542
10/27/2016,1.57
10/26/2016,1.551
10/25/2016,1.563
10/24/2016,1.58
10/21/2016,1.574
10/20/2016,1.56
10/19/2016,1.588
10/18/2016,1.569
10/17/2016,1.556
10/14/2016,1.567
10/13/2016,1.58
10/12/2016,1.567
10/11/2016,1.587
10/7/2016,1.579
10/6/2016,1.596
10/5/2016,1.582
10/4/2016,1.554
10/3/2016,1.553
09/30/2016,1.528
09/29/2016,1.51
09/28/2016,1.491
09/27/2016,1.41
09/26/2016,1.449
09/23/2016,1.407
09/22/2016,1.454
09/21/2016,1.429
09/20/2016,1.405
09/19/2016,1.394
09/16/2016,1.405
09/15/2016,1.416
09/14/2016,1.382
09/13/2016,1.423
09/12/2016,1.442
09/9/2016,1.43
09/8/2016,1.482
09/7/2016,1.427
09/6/2016,1.409
09/2/2016,1.41
09/1/2016,1.382
08/31/2016,1.41
08/30/2016,1.471
08/29/2016,1.486
08/26/2016,1.497
08/25/2016,1.509
08/24/2016,1.496
08/23/2016,1.502
08/22/2016,1.486
08/19/2016,1.52
08/18/2016,1.526
08/17/2016,1.489
08/16/2016,1.461
08/15/2016,1.45
08/12/2016,1.409
08/11/2016,1.385
08/10/2016,1.318
08/9/2016,1.331
08/8/2016,1.344
08/5/2016,1.317
08/4/2016,1.326
08/3/2016,1.288
08/2/2016,1.259
08/1/2016,1.258
07/29/2016,1.276
07/28/2016,1.27
07/27/2016,1.295
07/26/2016,1.326
07/25/2016,1.323
07/22/2016,1.357
07/21/2016,1.371
07/20/2016,1.405
07/19/2016,1.384
07/18/2016,1.378
07/15/2016,1.397
07/14/2016,1.406
07/13/2016,1.381
07/12/2016,1.463
07/11/2016,1.416
07/8/2016,1.412
07/7/2016,1.411
07/6/2016,1.471
07/5/2016,1.446
07/1/2016,1.512
06/30/2016,1.485
06/29/2016,1.534
06/28/2016,1.471
06/27/2016,1.429
06/24/2016,1.455
06/23/2016,1.521
06/22/2016,1.505
06/21/2016,1.517
06/20/2016,1.527
06/17/2016,1.482
06/16/2016,1.423
06/15/2016,1.478
06/14/2016,1.502
06/13/2016,1.515
06/10/2016,1.516
06/9/2016,1.551
06/8/2016,1.571
06/7/2016,1.542
06/6/2016,1.503
06/3/2016,1.488
06/1/2016,1.499
05/31/2016,1.498
05/27/2016,1.494
05/26/2016,1.501
05/25/2016,1.513
05/24/2016,1.489
05/23/2016,1.478
05/20/2016,1.49
05/19/2016,1.479
05/18/2016,1.483
05/17/2016,1.467
05/16/2016,1.44
05/13/2016,1.403
05/12/2016,1.394
05/11/2016,1.397
05/10/2016,1.338
05/9/2016,1.286
05/6/2016,1.337
05/5/2016,1.329
05/4/2016,1.328
05/3/2016,1.333
05/2/2016,1.356
04/29/2016,1.378
04/28/2016,1.405
04/27/2016,1.38
04/26/2016,1.333
04/25/2016,1.29
04/22/2016,1.309
04/21/2016,1.3
04/20/2016,1.332
04/19/2016,1.263
04/18/2016,1.236
04/15/2016,1.232
04/14/2016,1.254
04/13/2016,1.266
04/12/2016,1.276
04/11/2016,1.215
04/8/2016,1.2
04/7/2016,1.126
04/6/2016,1.14
04/5/2016,1.075
04/4/2016,1.089
04/1/2016,1.132
03/31/2016,1.185
03/30/2016,1.16
03/29/2016,1.156
03/28/2016,1.18
03/24/2016,1.198
03/23/2016,1.204
03/22/2016,1.252
03/21/2016,1.237
03/18/2016,1.239
03/17/2016,1.255
03/16/2016,1.231
03/15/2016,1.178
03/14/2016,1.197
03/11/2016,1.218
03/10/2016,1.216
03/9/2016,1.233
03/8/2016,1.2
03/7/2016,1.223
03/4/2016,1.161
03/3/2016,1.12
03/2/2016,1.107
03/1/2016,1.1
02/29/2016,1.076
02/26/2016,1.051
02/25/2016,1.07
02/24/2016,1.059
02/23/2016,1.022
02/22/2016,1.055
02/19/2016,1.026
02/18/2016,1.079
02/17/2016,1.088
